,method,seed,k,epoch,train_test,tp,tn,fp,fn
205,original and cof,4,10,103,test,82,89,4,11
206,original and cof,4,10,104,train,1884,2919,130,1165
207,original and cof,4,10,104,test,83,89,4,10
208,original and cof,4,10,105,train,1885,2919,130,1164
209,original and cof,4,10,105,test,83,89,4,10
210,original and cof,4,10,106,train,1888,2918,131,1161
211,original and cof,4,10,106,test,83,89,4,10
212,original and cof,4,10,107,train,1890,2918,131,1159
213,original and cof,4,10,107,test,83,89,4,10
214,original and cof,4,10,108,train,1892,2917,132,1157
215,original and cof,4,10,108,test,83,89,4,10
216,original and cof,4,10,109,train,1892,2916,133,1157
217,original and cof,4,10,109,test,84,89,4,9
218,original and cof,4,10,110,train,1894,2915,134,1155
219,original and cof,4,10,110,test,84,89,4,9
220,original and cof,4,10,111,train,1896,2913,136,1153
221,original and cof,4,10,111,test,84,89,4,9
222,original and cof,4,10,112,train,1899,2911,138,1150
223,original and cof,4,10,112,test,84,89,4,9
224,original and cof,4,10,113,train,1899,2911,138,1150
225,original and cof,4,10,113,test,84,89,4,9
226,original and cof,4,10,114,train,1900,2910,139,1149
227,original and cof,4,10,114,test,84,89,4,9
228,original and cof,4,10,115,train,1904,2906,143,1145
229,original and cof,4,10,115,test,84,89,4,9
230,original and cof,4,10,116,train,1907,2905,144,1142
231,original and cof,4,10,116,test,85,89,4,8
232,original and cof,4,10,117,train,1911,2904,145,1138
233,original and cof,4,10,117,test,85,89,4,8
234,original and cof,4,10,118,train,1913,2901,148,1136
235,original and cof,4,10,118,test,85,89,4,8
236,original and cof,4,10,119,train,1917,2898,151,1132
237,original and cof,4,10,119,test,85,88,5,8
238,original and cof,4,10,120,train,1919,2897,152,1130
239,original and cof,4,10,120,test,85,88,5,8
240,original and cof,4,10,121,train,1925,2895,154,1124
241,original and cof,4,10,121,test,85,88,5,8
242,original and cof,4,10,122,train,1929,2892,157,1120
243,original and cof,4,10,122,test,85,88,5,8
244,original and cof,4,10,123,train,1930,2890,159,1119
245,original and cof,4,10,123,test,85,88,5,8
246,original and cof,4,10,124,train,1944,2888,161,1105
247,original and cof,4,10,124,test,86,88,5,7
248,original and cof,4,10,125,train,1948,2886,163,1101
249,original and cof,4,10,125,test,87,88,5,6
250,original and cof,4,10,126,train,1950,2883,166,1099
251,original and cof,4,10,126,test,87,88,5,6
252,original and cof,4,10,127,train,1954,2880,169,1095
253,original and cof,4,10,127,test,87,88,5,6
254,original and cof,4,10,128,train,1958,2876,173,1091
255,original and cof,4,10,128,test,87,88,5,6
256,original and cof,4,10,129,train,1966,2873,176,1083
257,original and cof,4,10,129,test,87,88,5,6
258,original and cof,4,10,130,train,1976,2873,176,1073
259,original and cof,4,10,130,test,87,88,5,6
260,original and cof,4,10,131,train,1982,2872,177,1067
261,original and cof,4,10,131,test,87,88,5,6
262,original and cof,4,10,132,train,1988,2869,180,1061
263,original and cof,4,10,132,test,87,88,5,6
264,original and cof,4,10,133,train,1994,2866,183,1055
265,original and cof,4,10,133,test,87,87,6,6
266,original and cof,4,10,134,train,1998,2863,186,1051
267,original and cof,4,10,134,test,87,87,6,6
268,original and cof,4,10,135,train,2006,2862,187,1043
269,original and cof,4,10,135,test,87,87,6,6
270,original and cof,4,10,136,train,2012,2858,191,1037
271,original and cof,4,10,136,test,87,87,6,6
272,original and cof,4,10,137,train,2019,2854,195,1030
273,original and cof,4,10,137,test,87,87,6,6
274,original and cof,4,10,138,train,2021,2848,201,1028
275,original and cof,4,10,138,test,87,87,6,6
276,original and cof,4,10,139,train,2025,2844,205,1024
277,original and cof,4,10,139,test,87,87,6,6
278,original and cof,4,10,140,train,2032,2843,206,1017
279,original and cof,4,10,140,test,87,87,6,6
280,original and cof,4,10,141,train,2036,2843,206,1013
281,original and cof,4,10,141,test,88,87,6,5
282,original and cof,4,10,142,train,2039,2838,211,1010
283,original and cof,4,10,142,test,88,87,6,5
284,original and cof,4,10,143,train,2041,2837,212,1008
285,original and cof,4,10,143,test,88,87,6,5
