,method,seed,k,epoch,train_test,tp,tn,fp,fn
384,original and cof,0,1,193,train,134,258,28,152
385,original and cof,0,1,193,test,16,21,0,5
386,original and cof,0,1,194,train,134,262,24,152
387,original and cof,0,1,194,test,16,21,0,5
388,original and cof,0,1,195,train,134,258,28,152
389,original and cof,0,1,195,test,16,21,0,5
390,original and cof,0,1,196,train,134,262,24,152
391,original and cof,0,1,196,test,16,21,0,5
392,original and cof,0,1,197,train,134,258,28,152
393,original and cof,0,1,197,test,16,21,0,5
394,original and cof,0,1,198,train,134,262,24,152
395,original and cof,0,1,198,test,16,21,0,5
396,original and cof,0,1,199,train,134,258,28,152
397,original and cof,0,1,199,test,16,21,0,5
398,original and cof,0,1,200,train,134,263,23,152
399,original and cof,0,1,200,test,16,21,0,5
400,original and cof,0,1,201,train,134,258,28,152
401,original and cof,0,1,201,test,16,21,0,5
402,original and cof,0,1,202,train,134,263,23,152
403,original and cof,0,1,202,test,16,21,0,5
404,original and cof,0,1,203,train,134,258,28,152
405,original and cof,0,1,203,test,16,21,0,5
406,original and cof,0,1,204,train,134,263,23,152
407,original and cof,0,1,204,test,16,21,0,5
408,original and cof,0,1,205,train,134,258,28,152
409,original and cof,0,1,205,test,16,21,0,5
410,original and cof,0,1,206,train,134,263,23,152
411,original and cof,0,1,206,test,16,21,0,5
412,original and cof,0,1,207,train,134,258,28,152
413,original and cof,0,1,207,test,16,21,0,5
414,original and cof,0,1,208,train,134,263,23,152
415,original and cof,0,1,208,test,16,21,0,5
416,original and cof,0,1,209,train,134,258,28,152
417,original and cof,0,1,209,test,16,21,0,5
418,original and cof,0,1,210,train,134,263,23,152
419,original and cof,0,1,210,test,16,21,0,5
420,original and cof,0,1,211,train,134,258,28,152
421,original and cof,0,1,211,test,16,21,0,5
422,original and cof,0,1,212,train,134,263,23,152
423,original and cof,0,1,212,test,16,21,0,5
424,original and cof,0,1,213,train,134,258,28,152
425,original and cof,0,1,213,test,16,21,0,5
426,original and cof,0,1,214,train,134,263,23,152
427,original and cof,0,1,214,test,16,21,0,5
428,original and cof,0,1,215,train,134,259,27,152
429,original and cof,0,1,215,test,16,21,0,5
430,original and cof,0,1,216,train,134,264,22,152
431,original and cof,0,1,216,test,16,21,0,5
432,original and cof,0,1,217,train,134,259,27,152
433,original and cof,0,1,217,test,16,21,0,5
434,original and cof,0,1,218,train,134,264,22,152
435,original and cof,0,1,218,test,16,21,0,5
436,original and cof,0,1,219,train,134,259,27,152
437,original and cof,0,1,219,test,16,21,0,5
438,original and cof,0,1,220,train,134,264,22,152
439,original and cof,0,1,220,test,16,21,0,5
440,original and cof,0,1,221,train,134,259,27,152
441,original and cof,0,1,221,test,16,21,0,5
442,original and cof,0,1,222,train,134,266,20,152
443,original and cof,0,1,222,test,16,21,0,5
444,original and cof,0,1,223,train,134,259,27,152
445,original and cof,0,1,223,test,16,21,0,5
446,original and cof,0,1,224,train,134,266,20,152
447,original and cof,0,1,224,test,16,21,0,5
448,original and cof,0,1,225,train,134,262,24,152
449,original and cof,0,1,225,test,16,21,0,5
450,original and cof,0,1,226,train,134,266,20,152
451,original and cof,0,1,226,test,16,21,0,5
452,original and cof,0,1,227,train,134,262,24,152
453,original and cof,0,1,227,test,16,21,0,5
454,original and cof,0,1,228,train,134,266,20,152
455,original and cof,0,1,228,test,16,21,0,5
456,original and cof,0,1,229,train,134,262,24,152
457,original and cof,0,1,229,test,16,21,0,5
458,original and cof,0,1,230,train,134,266,20,152
459,original and cof,0,1,230,test,16,21,0,5
460,original and cof,0,1,231,train,134,262,24,152
461,original and cof,0,1,231,test,16,21,0,5
462,original and cof,0,1,232,train,134,266,20,152
463,original and cof,0,1,232,test,16,21,0,5
464,original and cof,0,1,233,train,134,262,24,152
465,original and cof,0,1,233,test,16,21,0,5
466,original and cof,0,1,234,train,134,266,20,152
467,original and cof,0,1,234,test,16,21,0,5
468,original and cof,0,1,235,train,134,262,24,152
469,original and cof,0,1,235,test,16,21,0,5
470,original and cof,0,1,236,train,134,266,20,152
471,original and cof,0,1,236,test,16,21,0,5
472,original and cof,0,1,237,train,134,262,24,152
473,original and cof,0,1,237,test,16,21,0,5
474,original and cof,0,1,238,train,134,268,18,152
475,original and cof,0,1,238,test,16,21,0,5
476,original and cof,0,1,239,train,134,263,23,152
477,original and cof,0,1,239,test,16,21,0,5
478,original and cof,0,1,240,train,134,268,18,152
479,original and cof,0,1,240,test,16,21,0,5
480,original and cof,0,1,241,train,134,263,23,152
481,original and cof,0,1,241,test,16,21,0,5
482,original and cof,0,1,242,train,134,268,18,152
483,original and cof,0,1,242,test,16,21,0,5
484,original and cof,0,1,243,train,134,263,23,152
485,original and cof,0,1,243,test,16,21,0,5
486,original and cof,0,1,244,train,134,268,18,152
487,original and cof,0,1,244,test,16,21,0,5
488,original and cof,0,1,245,train,134,263,23,152
489,original and cof,0,1,245,test,16,21,0,5
490,original and cof,0,1,246,train,134,268,18,152
491,original and cof,0,1,246,test,16,21,0,5
492,original and cof,0,1,247,train,134,263,23,152
493,original and cof,0,1,247,test,16,21,0,5
494,original and cof,0,1,248,train,134,268,18,152
495,original and cof,0,1,248,test,16,21,0,5
496,original and cof,0,1,249,train,134,263,23,152
497,original and cof,0,1,249,test,16,21,0,5
498,original and cof,0,1,250,train,134,268,18,152
499,original and cof,0,1,250,test,16,21,0,5
500,original and cof,0,1,251,train,134,263,23,152
501,original and cof,0,1,251,test,16,21,0,5
502,original and cof,0,1,252,train,134,268,18,152
503,original and cof,0,1,252,test,16,21,0,5
504,original and cof,0,1,253,train,134,263,23,152
505,original and cof,0,1,253,test,16,21,0,5
506,original and cof,0,1,254,train,134,268,18,152
507,original and cof,0,1,254,test,16,21,0,5
508,original and cof,0,1,255,train,134,263,23,152
509,original and cof,0,1,255,test,16,21,0,5
510,original and cof,0,1,256,train,134,268,18,152
511,original and cof,0,1,256,test,16,21,0,5
512,original and cof,0,1,257,train,134,264,22,152
513,original and cof,0,1,257,test,16,21,0,5
514,original and cof,0,1,258,train,134,268,18,152
515,original and cof,0,1,258,test,16,21,0,5
516,original and cof,0,1,259,train,134,264,22,152
517,original and cof,0,1,259,test,16,21,0,5
518,original and cof,0,1,260,train,134,269,17,152
519,original and cof,0,1,260,test,16,21,0,5
520,original and cof,0,1,261,train,134,264,22,152
521,original and cof,0,1,261,test,16,21,0,5
522,original and cof,0,1,262,train,134,269,17,152
523,original and cof,0,1,262,test,16,21,0,5
524,original and cof,0,1,263,train,134,266,20,152
525,original and cof,0,1,263,test,16,21,0,5
526,original and cof,0,1,264,train,134,269,17,152
527,original and cof,0,1,264,test,16,21,0,5
528,original and cof,0,1,265,train,134,266,20,152
529,original and cof,0,1,265,test,16,21,0,5
530,original and cof,0,1,266,train,134,270,16,152
531,original and cof,0,1,266,test,16,21,0,5
532,original and cof,0,1,267,train,134,266,20,152
533,original and cof,0,1,267,test,16,21,0,5
534,original and cof,0,1,268,train,134,270,16,152
535,original and cof,0,1,268,test,16,21,0,5
536,original and cof,0,1,269,train,134,266,20,152
537,original and cof,0,1,269,test,16,21,0,5
538,original and cof,0,1,270,train,134,270,16,152
539,original and cof,0,1,270,test,16,21,0,5
540,original and cof,0,1,271,train,134,266,20,152
541,original and cof,0,1,271,test,16,21,0,5
542,original and cof,0,1,272,train,134,270,16,152
543,original and cof,0,1,272,test,16,21,0,5
544,original and cof,0,1,273,train,134,266,20,152
545,original and cof,0,1,273,test,16,21,0,5
546,original and cof,0,1,274,train,134,270,16,152
547,original and cof,0,1,274,test,16,21,0,5
548,original and cof,0,1,275,train,134,266,20,152
549,original and cof,0,1,275,test,16,21,0,5
550,original and cof,0,1,276,train,134,270,16,152
551,original and cof,0,1,276,test,16,21,0,5
552,original and cof,0,1,277,train,134,266,20,152
553,original and cof,0,1,277,test,16,21,0,5
554,original and cof,0,1,278,train,134,270,16,152
555,original and cof,0,1,278,test,16,21,0,5
556,original and cof,0,1,279,train,134,266,20,152
557,original and cof,0,1,279,test,16,21,0,5
558,original and cof,0,1,280,train,134,270,16,152
559,original and cof,0,1,280,test,16,21,0,5
560,original and cof,0,1,281,train,134,266,20,152
561,original and cof,0,1,281,test,16,21,0,5
562,original and cof,0,1,282,train,134,270,16,152
563,original and cof,0,1,282,test,16,21,0,5
564,original and cof,0,1,283,train,134,268,18,152
565,original and cof,0,1,283,test,16,21,0,5
566,original and cof,0,1,284,train,134,270,16,152
567,original and cof,0,1,284,test,16,21,0,5
568,original and cof,0,1,285,train,134,268,18,152
569,original and cof,0,1,285,test,16,21,0,5
570,original and cof,0,1,286,train,134,270,16,152
571,original and cof,0,1,286,test,16,21,0,5
572,original and cof,0,1,287,train,134,268,18,152
573,original and cof,0,1,287,test,16,21,0,5
574,original and cof,0,1,288,train,134,270,16,152
575,original and cof,0,1,288,test,15,21,0,6
576,original and cof,0,1,289,train,134,268,18,152
577,original and cof,0,1,289,test,16,21,0,5
578,original and cof,0,1,290,train,134,270,16,152
579,original and cof,0,1,290,test,15,21,0,6
580,original and cof,0,1,291,train,134,268,18,152
581,original and cof,0,1,291,test,16,21,0,5
582,original and cof,0,1,292,train,134,270,16,152
583,original and cof,0,1,292,test,15,21,0,6
584,original and cof,0,1,293,train,134,268,18,152
585,original and cof,0,1,293,test,16,21,0,5
586,original and cof,0,1,294,train,134,270,16,152
587,original and cof,0,1,294,test,15,21,0,6
588,original and cof,0,1,295,train,134,268,18,152
589,original and cof,0,1,295,test,16,21,0,5
590,original and cof,0,1,296,train,134,270,16,152
591,original and cof,0,1,296,test,15,21,0,6
592,original and cof,0,1,297,train,134,268,18,152
